Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;ANCENIS;87481192;SABLE SUR SARTHE;87396408;1;Tarif Réglementé;31.5;31.5
TGV INOUI;LAVAL;87478404;LILLE FLANDRES;87286005;2;Tarif Normal;25.0;116.0
TGV INOUI;ANCENIS;87481192;ST NAZAIRE;87481705;1;Tarif Normal;11.0;40.0
TGV INOUI;MORLAIX;87474338;LANDERNEAU;87474239;2;Tarif Normal;8.7;12.4
TGV INOUI;PAU;87672006;LOURDES;87671339;1;Tarif Avantage;4.2;13.6
TGV INOUI;LAVAL;87478404;LYON PART DIEU;87723197;2;Tarif Elève - Etudiant - Apprenti;12.0;12.0
TGV INOUI;PAU;87672006;PARIS AUSTERLITZ;87547000;1;Tarif Normal;31.0;199.0
TGV INOUI;MORLAIX;87474338;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Réglementé;85.5;103.5
TGV INOUI;MORLAIX;87474338;PLOUARET TREGOR;87473181;2;Tarif Avantage;6.3;6.7
TGV INOUI;MORLAIX;87474338;RENNES;87471003;2;Tarif Normal;20.0;39.0
TGV INOUI;METZ VILLE;87192039;TOUL;87141044;1;Tarif Avantage;4.9;17.0
TGV INOUI;PAU;87672006;CHATELLERAULT;87575142;1;Tarif Avantage;20.0;86.0
TGV INOUI;LAVAL;87478404;MARSEILLE BLANCARDE;87751081;2;Tarif Elève - Etudiant - Apprenti;30.0;30.0
TGV INOUI;METZ VILLE;87192039;PARIS NORD;87271007;1;Tarif Réglementé;118.8;118.8
TGV INOUI;PERPIGNAN;87784009;CHALON SUR SAONE;87725002;1;Tarif Avantage;21.5;105.0
TGV INOUI;LAVAL;87478404;LYON PART DIEU;87723197;2;Tarif Normal;25.0;116.0
TGV INOUI;MORLAIX;87474338;ST BRIEUC;87473009;2;Tarif Normal;16.0;22.5
TGV INOUI;LAVAL;87478404;LYON PART DIEU;87723197;2;Tarif Réglementé;84.4;103.5
TGV INOUI;MEUSE TGV;87147322;EPINAL;87144006;1;Tarif Normal;17.0;69.0
